ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
302,176,-12,8,0,220,10,80,20,800,400,20,12,30
290,184,-12,8,0,220,10,80,20,800,400,20,12,30
278,192,-12,8,0,220,10,80,20,800,400,20,12,30
266,200,-12,8,1,220,10,80,20,800,400,20,12,30
254,208,-12,8,0,240,10,80,20,800,400,20,12,30
242,216,-12,8,0,240,10,80,20,800,400,20,12,30
230,224,-12,8,0,240,10,80,20,800,400,20,12,30
218,232,-12,8,0,240,10,80,20,800,400,20,12,30
206,240,-12,8,1,240,10,80,20,800,400,20,12,30
194,248,-12,8,0,260,10,80,20,800,400,20,12,30
182,256,-12,8,0,260,10,80,20,800,400,20,12,30
170,264,-12,8,0,260,10,80,20,800,400,20,12,30
158,272,-12,8,0,260,10,80,20,800,400,20,12,30
146,280,-12,8,0,260,10,80,20,800,400,20,12,30
134,288,-12,8,0,260,10,80,20,800,400,20,12,30
122,296,-12,8,0,260,10,80,20,800,400,20,12,30
110,304,-12,8,0,260,10,80,20,800,400,20,12,30
98,312,-12,8,0,260,10,80,20,800,400,20,12,30
86,320,-12,8,0,260,10,80,20,800,400,20,12,30
74,328,-12,8,0,260,10,80,20,800,400,20,12,30
62,336,-12,8,0,260,10,80,20,800,400,20,12,30
50,344,-12,8,0,260,10,80,20,800,400,20,12,30
38,352,-12,8,0,260,10,80,20,800,400,20,12,30
50,360,12,8,0,260,10,80,20,800,400,20,12,30
62,368,12,8,0,260,10,80,20,800,400,20,12,30
74,360,12,-8,0,260,10,80,20,800,400,20,12,30
86,352,12,-8,-1,260,10,80,20,800,400,20,12,30
98,344,12,-8,0,240,10,80,20,800,400,20,12,30
110,336,12,-8,0,240,10,80,20,800,400,20,12,30
122,328,12,-8,0,240,10,80,20,800,400,20,12,30
134,320,12,-8,0,240,10,80,20,800,400,20,12,30
146,312,12,-8,-1,240,10,80,20,800,400,20,12,30
158,304,12,-8,0,220,10,80,20,800,400,20,12,30
170,296,12,-8,0,220,10,80,20,800,400,20,12,30
182,288,12,-8,0,220,10,80,20,800,400,20,12,30
194,280,12,-8,0,220,10,80,20,800,400,20,12,30
206,272,12,-8,0,220,10,80,20,800,400,20,12,30
218,264,12,-8,0,220,10,80,20,800,400,20,12,30
230,256,12,-8,0,220,10,80,20,800,400,20,12,30
242,248,12,-8,-1,220,10,80,20,800,400,20,12,30
254,240,12,-8,0,200,10,80,20,800,400,20,12,30
266,232,12,-8,0,200,10,80,20,800,400,20,12,30
278,224,12,-8,-1,200,10,80,20,800,400,20,12,30
290,216,12,-8,0,180,10,80,20,800,400,20,12,30
302,208,12,-8,0,180,10,80,20,800,400,20,12,30
314,200,12,-8,0,180,10,80,20,800,400,20,12,30
326,192,12,-8,0,180,10,80,20,800,400,20,12,30
338,184,12,-8,0,180,10,80,20,800,400,20,12,30
350,176,12,-8,0,180,10,80,20,800,400,20,12,30
362,168,12,-8,0,180,10,80,20,800,400,20,12,30
374,160,12,-8,0,180,10,80,20,800,400,20,12,30
386,152,12,-8,0,180,10,80,20,800,400,20,12,30
398,144,12,-8,0,180,10,80,20,800,400,20,12,30
410,136,12,-8,0,180,10,80,20,800,400,20,12,30
422,128,12,-8,-1,180,10,80,20,800,400,20,12,30
434,120,12,-8,0,160,10,80,20,800,400,20,12,30
446,112,12,-8,0,160,10,80,20,800,400,20,12,30
458,104,12,-8,0,160,10,80,20,800,400,20,12,30
470,96,12,-8,0,160,10,80,20,800,400,20,12,30
482,88,12,-8,0,160,10,80,20,800,400,20,12,30
494,80,12,-8,0,160,10,80,20,800,400,20,12,30
506,72,12,-8,0,160,10,80,20,800,400,20,12,30
518,64,12,-8,1,160,10,80,20,800,400,20,12,30
530,56,12,-8,0,180,10,80,20,800,400,20,12,30
542,48,12,-8,0,180,10,80,20,800,400,20,12,30
554,40,12,-8,0,180,10,80,20,800,400,20,12,30
566,32,12,-8,1,180,10,80,20,800,400,20,12,30
578,40,12,8,0,200,10,80,20,800,400,20,12,30
590,48,12,8,0,200,10,80,20,800,400,20,12,30
602,56,12,8,0,200,10,80,20,800,400,20,12,30
614,64,12,8,1,200,10,80,20,800,400,20,12,30
626,72,12,8,0,220,10,80,20,800,400,20,12,30
638,80,12,8,0,220,10,80,20,800,400,20,12,30
650,88,12,8,0,220,10,80,20,800,400,20,12,30
662,96,12,8,1,220,10,80,20,800,400,20,12,30
674,104,12,8,0,240,10,80,20,800,400,20,12,30
686,112,12,8,0,240,10,80,20,800,400,20,12,30
698,120,12,8,0,240,10,80,20,800,400,20,12,30
710,128,12,8,0,240,10,80,20,800,400,20,12,30
722,136,12,8,0,240,10,80,20,800,400,20,12,30
734,144,12,8,0,240,10,80,20,800,400,20,12,30
746,152,12,8,0,240,10,80,20,800,400,20,12,30
758,160,12,8,-1,240,10,80,20,800,400,20,12,30
770,168,12,8,0,220,10,80,20,800,400,20,12,30
782,176,12,8,0,220,10,80,20,800,400,20,12,30
770,184,-12,8,0,220,10,80,20,800,400,20,12,30
758,192,-12,8,-1,220,10,80,20,800,400,20,12,30
746,200,-12,8,0,200,10,80,20,800,400,20,12,30
734,208,-12,8,0,200,10,80,20,800,400,20,12,30
722,216,-12,8,0,200,10,80,20,800,400,20,12,30
710,224,-12,8,0,200,10,80,20,800,400,20,12,30
698,232,-12,8,0,200,10,80,20,800,400,20,12,30
686,240,-12,8,0,200,10,80,20,800,400,20,12,30
674,248,-12,8,0,200,10,80,20,800,400,20,12,30
662,256,-12,8,0,200,10,80,20,800,400,20,12,30
650,264,-12,8,0,200,10,80,20,800,400,20,12,30
638,272,-12,8,0,200,10,80,20,800,400,20,12,30
626,280,-12,8,0,200,10,80,20,800,400,20,12,30
614,288,-12,8,0,200,10,80,20,800,400,20,12,30
602,296,-12,8,0,200,10,80,20,800,400,20,12,30
590,304,-12,8,0,200,10,80,20,800,400,20,12,30
578,312,-12,8,0,200,10,80,20,800,400,20,12,30
566,320,-12,8,0,200,10,80,20,800,400,20,12,30
554,328,-12,8,0,200,10,80,20,800,400,20,12,30
542,336,-12,8,0,200,10,80,20,800,400,20,12,30
530,344,-12,8,0,200,10,80,20,800,400,20,12,30
518,352,-12,8,0,200,10,80,20,800,400,20,12,30
506,360,-12,8,0,200,10,80,20,800,400,20,12,30
494,368,-12,8,0,200,10,80,20,800,400,20,12,30
482,360,-12,-8,0,200,10,80,20,800,400,20,12,30
470,352,-12,-8,0,200,10,80,20,800,400,20,12,30
458,344,-12,-8,0,200,10,80,20,800,400,20,12,30
446,336,-12,-8,0,200,10,80,20,800,400,20,12,30
434,328,-12,-8,1,200,10,80,20,800,400,20,12,30
422,320,-12,-8,0,220,10,80,20,800,400,20,12,30
410,312,-12,-8,0,220,10,80,20,800,400,20,12,30
398,304,-12,-8,0,220,10,80,20,800,400,20,12,30
386,296,-12,-8,0,220,10,80,20,800,400,20,12,30
374,288,-12,-8,0,220,10,80,20,800,400,20,12,30
362,280,-12,-8,0,220,10,80,20,800,400,20,12,30
350,272,-12,-8,0,220,10,80,20,800,400,20,12,30
338,264,-12,-8,0,220,10,80,20,800,400,20,12,30
326,256,-12,-8,0,220,10,80,20,800,400,20,12,30
314,248,-12,-8,1,220,10,80,20,800,400,20,12,30
302,240,-12,-8,0,240,10,80,20,800,400,20,12,30
290,232,-12,-8,0,240,10,80,20,800,400,20,12,30
278,224,-12,-8,0,240,10,80,20,800,400,20,12,30
266,216,-12,-8,0,240,10,80,20,800,400,20,12,30
254,208,-12,-8,0,240,10,80,20,800,400,20,12,30
242,200,-12,-8,0,240,10,80,20,800,400,20,12,30
230,192,-12,-8,0,240,10,80,20,800,400,20,12,30
218,184,-12,-8,0,240,10,80,20,800,400,20,12,30
206,176,-12,-8,0,240,10,80,20,800,400,20,12,30
194,168,-12,-8,0,240,10,80,20,800,400,20,12,30
182,160,-12,-8,0,240,10,80,20,800,400,20,12,30
170,152,-12,-8,0,240,10,80,20,800,400,20,12,30
158,144,-12,-8,0,240,10,80,20,800,400,20,12,30
146,136,-12,-8,-1,240,10,80,20,800,400,20,12,30
134,128,-12,-8,0,220,10,80,20,800,400,20,12,30
122,120,-12,-8,0,220,10,80,20,800,400,20,12,30
110,112,-12,-8,0,220,10,80,20,800,400,20,12,30
98,104,-12,-8,0,220,10,80,20,800,400,20,12,30
86,96,-12,-8,-1,220,10,80,20,800,400,20,12,30
74,88,-12,-8,0,200,10,80,20,800,400,20,12,30
62,80,-12,-8,0,200,10,80,20,800,400,20,12,30
50,72,-12,-8,0,200,10,80,20,800,400,20,12,30
38,64,-12,-8,0,200,10,80,20,800,400,20,12,30
50,56,12,-8,-1,200,10,80,20,800,400,20,12,30
62,48,12,-8,0,180,10,80,20,800,400,20,12,30
74,40,12,-8,0,180,10,80,20,800,400,20,12,30
86,32,12,-8,0,180,10,80,20,800,400,20,12,30
98,40,12,8,0,180,10,80,20,800,400,20,12,30
110,48,12,8,0,180,10,80,20,800,400,20,12,30
122,56,12,8,0,180,10,80,20,800,400,20,12,30
134,64,12,8,0,180,10,80,20,800,400,20,12,30
146,72,12,8,0,180,10,80,20,800,400,20,12,30
158,80,12,8,0,180,10,80,20,800,400,20,12,30
170,88,12,8,0,180,10,80,20,800,400,20,12,30
182,96,12,8,0,180,10,80,20,800,400,20,12,30
194,104,12,8,0,180,10,80,20,800,400,20,12,30
206,112,12,8,0,180,10,80,20,800,400,20,12,30
218,120,12,8,0,180,10,80,20,800,400,20,12,30
230,128,12,8,0,180,10,80,20,800,400,20,12,30
242,136,12,8,1,180,10,80,20,800,400,20,12,30
254,144,12,8,0,200,10,80,20,800,400,20,12,30
266,152,12,8,0,200,10,80,20,800,400,20,12,30
278,160,12,8,0,200,10,80,20,800,400,20,12,30
290,168,12,8,1,200,10,80,20,800,400,20,12,30
302,176,12,8,0,220,10,80,20,800,400,20,12,30
314,184,12,8,0,220,10,80,20,800,400,20,12,30
326,192,12,8,0,220,10,80,20,800,400,20,12,30
338,200,12,8,1,220,10,80,20,800,400,20,12,30
350,208,12,8,0,240,10,80,20,800,400,20,12,30
362,216,12,8,0,240,10,80,20,800,400,20,12,30
374,224,12,8,0,240,10,80,20,800,400,20,12,30
386,232,12,8,1,240,10,80,20,800,400,20,12,30
398,240,12,8,0,260,10,80,20,800,400,20,12,30
410,248,12,8,0,260,10,80,20,800,400,20,12,30
422,256,12,8,0,260,10,80,20,800,400,20,12,30
434,264,12,8,0,260,10,80,20,800,400,20,12,30
446,272,12,8,0,260,10,80,20,800,400,20,12,30
458,280,12,8,0,260,10,80,20,800,400,20,12,30
470,288,12,8,0,260,10,80,20,800,400,20,12,30
482,296,12,8,0,260,10,80,20,800,400,20,12,30
494,304,12,8,0,260,10,80,20,800,400,20,12,30
506,312,12,8,0,260,10,80,20,800,400,20,12,30
518,320,12,8,0,260,10,80,20,800,400,20,12,30
530,328,12,8,0,260,10,80,20,800,400,20,12,30
542,336,12,8,0,260,10,80,20,800,400,20,12,30
554,344,12,8,0,260,10,80,20,800,400,20,12,30
566,352,12,8,0,260,10,80,20,800,400,20,12,30
578,360,12,8,0,260,10,80,20,800,400,20,12,30
590,368,12,8,0,260,10,80,20,800,400,20,12,30
602,360,12,-8,0,260,10,80,20,800,400,20,12,30
614,352,12,-8,0,260,10,80,20,800,400,20,12,30
626,344,12,-8,0,260,10,80,20,800,400,20,12,30
638,336,12,-8,0,260,10,80,20,800,400,20,12,30
650,328,12,-8,0,260,10,80,20,800,400,20,12,30
662,320,12,-8,0,260,10,80,20,800,400,20,12,30
674,312,12,-8,0,260,10,80,20,800,400,20,12,30
686,304,12,-8,0,260,10,80,20,800,400,20,12,30
698,296,12,-8,0,260,10,80,20,800,400,20,12,30
710,288,12,-8,-1,260,10,80,20,800,400,20,12,30
722,280,12,-8,0,240,10,80,20,800,400,20,12,30
734,272,12,-8,0,240,10,80,20,800,400,20,12,30
746,264,12,-8,0,240,10,80,20,800,400,20,12,30
758,256,12,-8,0,240,10,80,20,800,400,20,12,30
770,248,12,-8,0,240,10,80,20,800,400,20,12,30
758,240,-12,-8,0,240,10,80,20,800,400,20,12,30
746,232,-12,-8,0,240,10,80,20,800,400,20,12,30
734,224,-12,-8,0,240,10,80,20,800,400,20,12,30
722,216,-12,-8,0,240,10,80,20,800,400,20,12,30
710,208,-12,-8,0,240,10,80,20,800,400,20,12,30
698,200,-12,-8,0,240,10,80,20,800,400,20,12,30
686,192,-12,-8,0,240,10,80,20,800,400,20,12,30
674,184,-12,-8,0,240,10,80,20,800,400,20,12,30
662,176,-12,-8,0,240,10,80,20,800,400,20,12,30
650,168,-12,-8,0,240,10,80,20,800,400,20,12,30
638,160,-12,-8,0,240,10,80,20,800,400,20,12,30
626,152,-12,-8,0,240,10,80,20,800,400,20,12,30
614,144,-12,-8,0,240,10,80,20,800,400,20,12,30
602,136,-12,-8,-1,240,10,80,20,800,400,20,12,30
590,128,-12,-8,0,220,10,80,20,800,400,20,12,30
578,120,-12,-8,0,220,10,80,20,800,400,20,12,30
566,112,-12,-8,0,220,10,80,20,800,400,20,12,30
554,104,-12,-8,0,220,10,80,20,800,400,20,12,30
542,96,-12,-8,0,220,10,80,20,800,400,20,12,30
530,88,-12,-8,0,220,10,80,20,800,400,20,12,30
518,80,-12,-8,-1,220,10,80,20,800,400,20,12,30
506,72,-12,-8,0,200,10,80,20,800,400,20,12,30
494,64,-12,-8,0,200,10,80,20,800,400,20,12,30
482,56,-12,-8,0,200,10,80,20,800,400,20,12,30
470,48,-12,-8,-1,200,10,80,20,800,400,20,12,30
458,40,-12,-8,0,180,10,80,20,800,400,20,12,30
446,32,-12,-8,0,180,10,80,20,800,400,20,12,30
434,40,-12,8,0,180,10,80,20,800,400,20,12,30
422,48,-12,8,0,180,10,80,20,800,400,20,12,30
410,56,-12,8,0,180,10,80,20,800,400,20,12,30
398,64,-12,8,0,180,10,80,20,800,400,20,12,30
386,72,-12,8,0,180,10,80,20,800,400,20,12,30
374,80,-12,8,0,180,10,80,20,800,400,20,12,30
362,88,-12,8,0,180,10,80,20,800,400,20,12,30
350,96,-12,8,0,180,10,80,20,800,400,20,12,30
338,104,-12,8,0,180,10,80,20,800,400,20,12,30
326,112,-12,8,1,180,10,80,20,800,400,20,12,30
314,120,-12,8,0,200,10,80,20,800,400,20,12,30
302,128,-12,8,0,200,10,80,20,800,400,20,12,30
290,136,-12,8,0,200,10,80,20,800,400,20,12,30
278,144,-12,8,0,200,10,80,20,800,400,20,12,30
266,152,-12,8,0,200,10,80,20,800,400,20,12,30
254,160,-12,8,1,200,10,80,20,800,400,20,12,30
242,168,-12,8,0,220,10,80,20,800,400,20,12,30
230,176,-12,8,0,220,10,80,20,800,400,20,12,30
218,184,-12,8,0,220,10,80,20,800,400,20,12,30
206,192,-12,8,1,220,10,80,20,800,400,20,12,30
194,200,-12,8,0,240,10,80,20,800,400,20,12,30
182,208,-12,8,0,240,10,80,20,800,400,20,12,30
170,216,-12,8,0,240,10,80,20,800,400,20,12,30
158,224,-12,8,0,240,10,80,20,800,400,20,12,30
146,232,-12,8,1,240,10,80,20,800,400,20,12,30
134,240,-12,8,0,260,10,80,20,800,400,20,12,30
122,248,-12,8,0,260,10,80,20,800,400,20,12,30
110,256,-12,8,0,260,10,80,20,800,400,20,12,30
98,264,-12,8,0,260,10,80,20,800,400,20,12,30
86,272,-12,8,1,260,10,80,20,800,400,20,12,30
74,280,-12,8,0,280,10,80,20,800,400,20,12,30
62,288,-12,8,0,280,10,80,20,800,400,20,12,30
50,296,-12,8,0,280,10,80,20,800,400,20,12,30
38,304,-12,8,0,280,10,80,20,800,400,20,12,30
50,312,12,8,1,280,10,80,20,800,400,20,12,30
62,320,12,8,0,300,10,80,20,800,400,20,12,30
74,328,12,8,0,300,10,80,20,800,400,20,12,30
86,336,12,8,0,300,10,80,20,800,400,20,12,30
98,344,12,8,0,300,10,80,20,800,400,20,12,30
110,352,12,8,0,300,10,80,20,800,400,20,12,30
122,360,12,8,0,300,10,80,20,800,400,20,12,30
134,368,12,8,0,300,10,80,20,800,400,20,12,30
146,360,12,-8,-1,300,10,80,20,800,400,20,12,30
158,352,12,-8,0,280,10,80,20,800,400,20,12,30
170,344,12,-8,0,280,10,80,20,800,400,20,12,30
182,336,12,-8,0,280,10,80,20,800,400,20,12,30
194,328,12,-8,0,280,10,80,20,800,400,20,12,30
206,320,12,-8,0,280,10,80,20,800,400,20,12,30
218,312,12,-8,-1,280,10,80,20,800,400,20,12,30
230,304,12,-8,0,260,10,80,20,800,400,20,12,30
242,296,12,-8,0,260,10,80,20,800,400,20,12,30
254,288,12,-8,0,260,10,80,20,800,400,20,12,30
266,280,12,-8,-1,260,10,80,20,800,400,20,12,30
278,272,12,-8,0,240,10,80,20,800,400,20,12,30
290,264,12,-8,0,240,10,80,20,800,400,20,12,30
302,256,12,-8,0,240,10,80,20,800,400,20,12,30
314,248,12,-8,-1,240,10,80,20,800,400,20,12,30
326,240,12,-8,0,220,10,80,20,800,400,20,12,30
338,232,12,-8,0,220,10,80,20,800,400,20,12,30
350,224,12,-8,0,220,10,80,20,800,400,20,12,30
362,216,12,-8,-1,220,10,80,20,800,400,20,12,30
374,208,12,-8,0,200,10,80,20,800,400,20,12,30
386,200,12,-8,0,200,10,80,20,800,400,20,12,30
398,192,12,-8,0,200,10,80,20,800,400,20,12,30
410,184,12,-8,-1,200,10,80,20,800,400,20,12,30
422,176,12,-8,0,180,10,80,20,800,400,20,12,30
434,168,12,-8,0,180,10,80,20,800,400,20,12,30
446,160,12,-8,0,180,10,80,20,800,400,20,12,30
458,152,12,-8,-1,180,10,80,20,800,400,20,12,30
470,144,12,-8,0,160,10,80,20,800,400,20,12,30
482,136,12,-8,0,160,10,80,20,800,400,20,12,30
494,128,12,-8,0,160,10,80,20,800,400,20,12,30
506,120,12,-8,0,160,10,80,20,800,400,20,12,30
518,112,12,-8,0,160,10,80,20,800,400,20,12,30
530,104,12,-8,-1,160,10,80,20,800,400,20,12,30
542,96,12,-8,0,140,10,80,20,800,400,20,12,30
554,88,12,-8,0,140,10,80,20,800,400,20,12,30
566,80,12,-8,-1,140,10,80,20,800,400,20,12,30
578,72,12,-8,0,120,10,80,20,800,400,20,12,30
590,64,12,-8,0,120,10,80,20,800,400,20,12,30
602,56,12,-8,0,120,10,80,20,800,400,20,12,30
614,48,12,-8,0,120,10,80,20,800,400,20,12,30
626,40,12,-8,0,120,10,80,20,800,400,20,12,30
638,32,12,-8,0,120,10,80,20,800,400,20,12,30
650,40,12,8,0,120,10,80,20,800,400,20,12,30
662,48,12,8,0,120,10,80,20,800,400,20,12,30
674,56,12,8,0,120,10,80,20,800,400,20,12,30
686,64,12,8,0,120,10,80,20,800,400,20,12,30
698,72,12,8,0,120,10,80,20,800,400,20,12,30
710,80,12,8,0,120,10,80,20,800,400,20,12,30
722,88,12,8,0,120,10,80,20,800,400,20,12,30
734,96,12,8,0,120,10,80,20,800,400,20,12,30
746,104,12,8,0,120,10,80,20,800,400,20,12,30
758,112,12,8,0,120,10,80,20,800,400,20,12,30
770,120,12,8,0,120,10,80,20,800,400,20,12,30
758,128,-12,8,0,120,10,80,20,800,400,20,12,30
746,136,-12,8,0,120,10,80,20,800,400,20,12,30
734,144,-12,8,0,120,10,80,20,800,400,20,12,30
722,152,-12,8,0,120,10,80,20,800,400,20,12,30
710,160,-12,8,1,120,10,80,20,800,400,20,12,30
698,168,-12,8,0,140,10,80,20,800,400,20,12,30
686,176,-12,8,0,140,10,80,20,800,400,20,12,30
674,184,-12,8,0,140,10,80,20,800,400,20,12,30
662,192,-12,8,0,140,10,80,20,800,400,20,12,30
650,200,-12,8,1,140,10,80,20,800,400,20,12,30
638,208,-12,8,0,160,10,80,20,800,400,20,12,30
626,216,-12,8,0,160,10,80,20,800,400,20,12,30
614,224,-12,8,0,160,10,80,20,800,400,20,12,30
602,232,-12,8,0,160,10,80,20,800,400,20,12,30
590,240,-12,8,1,160,10,80,20,800,400,20,12,30
578,248,-12,8,0,180,10,80,20,800,400,20,12,30
566,256,-12,8,0,180,10,80,20,800,400,20,12,30
554,264,-12,8,0,180,10,80,20,800,400,20,12,30
542,272,-12,8,0,180,10,80,20,800,400,20,12,30
530,280,-12,8,0,180,10,80,20,800,400,20,12,30
518,288,-12,8,1,180,10,80,20,800,400,20,12,30
506,296,-12,8,0,200,10,80,20,800,400,20,12,30
494,304,-12,8,0,200,10,80,20,800,400,20,12,30
482,312,-12,8,0,200,10,80,20,800,400,20,12,30
470,320,-12,8,0,200,10,80,20,800,400,20,12,30
458,328,-12,8,1,200,10,80,20,800,400,20,12,30
446,336,-12,8,0,220,10,80,20,800,400,20,12,30
434,344,-12,8,0,220,10,80,20,800,400,20,12,30
422,352,-12,8,0,220,10,80,20,800,400,20,12,30
410,360,-12,8,1,220,10,80,20,800,400,20,12,30
398,368,-12,8,0,240,10,80,20,800,400,20,12,30
386,360,-12,-8,0,240,10,80,20,800,400,20,12,30
374,352,-12,-8,0,240,10,80,20,800,400,20,12,30
362,344,-12,-8,0,240,10,80,20,800,400,20,12,30
350,336,-12,-8,0,240,10,80,20,800,400,20,12,30
338,328,-12,-8,0,240,10,80,20,800,400,20,12,30
326,320,-12,-8,0,240,10,80,20,800,400,20,12,30
314,312,-12,-8,0,240,10,80,20,800,400,20,12,30
302,304,-12,-8,0,240,10,80,20,800,400,20,12,30
290,296,-12,-8,0,240,10,80,20,800,400,20,12,30
278,288,-12,-8,0,240,10,80,20,800,400,20,12,30
266,280,-12,-8,0,240,10,80,20,800,400,20,12,30
254,272,-12,-8,0,240,10,80,20,800,400,20,12,30
242,264,-12,-8,0,240,10,80,20,800,400,20,12,30
230,256,-12,-8,0,240,10,80,20,800,400,20,12,30
218,248,-12,-8,0,240,10,80,20,800,400,20,12,30
206,240,-12,-8,0,240,10,80,20,800,400,20,12,30
194,232,-12,-8,0,240,10,80,20,800,400,20,12,30
182,224,-12,-8,0,240,10,80,20,800,400,20,12,30
170,216,-12,-8,0,240,10,80,20,800,400,20,12,30
158,208,-12,-8,0,240,10,80,20,800,400,20,12,30
146,200,-12,-8,0,240,10,80,20,800,400,20,12,30
134,192,-12,-8,-1,240,10,80,20,800,400,20,12,30
122,184,-12,-8,0,220,10,80,20,800,400,20,12,30
110,176,-12,-8,0,220,10,80,20,800,400,20,12,30
98,168,-12,-8,0,220,10,80,20,800,400,20,12,30
86,160,-12,-8,0,220,10,80,20,800,400,20,12,30
74,152,-12,-8,-1,220,10,80,20,800,400,20,12,30
62,144,-12,-8,0,200,10,80,20,800,400,20,12,30
50,136,-12,-8,0,200,10,80,20,800,400,20,12,30
38,128,-12,-8,0,200,10,80,20,800,400,20,12,30
50,120,12,-8,-1,200,10,80,20,800,400,20,12,30
62,112,12,-8,0,180,10,80,20,800,400,20,12,30
74,104,12,-8,0,180,10,80,20,800,400,20,12,30
86,96,12,-8,0,180,10,80,20,800,400,20,12,30
98,88,12,-8,-1,180,10,80,20,800,400,20,12,30
110,80,12,-8,0,160,10,80,20,800,400,20,12,30
122,72,12,-8,0,160,10,80,20,800,400,20,12,30
134,64,12,-8,-1,160,10,80,20,800,400,20,12,30
146,56,12,-8,0,140,10,80,20,800,400,20,12,30
158,48,12,-8,0,140,10,80,20,800,400,20,12,30
170,40,12,-8,0,140,10,80,20,800,400,20,12,30
182,32,12,-8,0,140,10,80,20,800,400,20,12,30
194,40,12,8,0,140,10,80,20,800,400,20,12,30
206,48,12,8,-1,140,10,80,20,800,400,20,12,30
218,56,12,8,0,120,10,80,20,800,400,20,12,30
230,64,12,8,0,120,10,80,20,800,400,20,12,30
242,72,12,8,0,120,10,80,20,800,400,20,12,30
254,80,12,8,0,120,10,80,20,800,400,20,12,30
266,88,12,8,0,120,10,80,20,800,400,20,12,30
278,96,12,8,1,120,10,80,20,800,400,20,12,30
290,104,12,8,0,140,10,80,20,800,400,20,12,30
302,112,12,8,0,140,10,80,20,800,400,20,12,30
314,120,12,8,0,140,10,80,20,800,400,20,12,30
326,128,12,8,1,140,10,80,20,800,400,20,12,30
338,136,12,8,0,160,10,80,20,800,400,20,12,30
350,144,12,8,0,160,10,80,20,800,400,20,12,30
362,152,12,8,1,160,10,80,20,800,400,20,12,30
374,160,12,8,0,180,10,80,20,800,400,20,12,30
386,168,12,8,0,180,10,80,20,800,400,20,12,30
398,176,12,8,1,180,10,80,20,800,400,20,12,30
410,184,12,8,0,200,10,80,20,800,400,20,12,30
422,192,12,8,0,200,10,80,20,800,400,20,12,30
434,200,12,8,1,200,10,80,20,800,400,20,12,30
446,208,12,8,0,220,10,80,20,800,400,20,12,30
458,216,12,8,0,220,10,80,20,800,400,20,12,30
470,224,12,8,1,220,10,80,20,800,400,20,12,30
482,232,12,8,0,240,10,80,20,800,400,20,12,30
494,240,12,8,0,240,10,80,20,800,400,20,12,30
506,248,12,8,0,240,10,80,20,800,400,20,12,30
518,256,12,8,1,240,10,80,20,800,400,20,12,30
530,264,12,8,0,260,10,80,20,800,400,20,12,30
542,272,12,8,1,260,10,80,20,800,400,20,12,30
554,280,12,8,0,280,10,80,20,800,400,20,12,30
566,288,12,8,0,280,10,80,20,800,400,20,12,30
